Date,State,Infection_Count
2020-03-31,ANDAMAN & NICOBAR,10.0
2020-03-31,ANDHRA PRADESH,43.0
2020-03-31,ARUNACHAL PRADESH,
2020-03-31,ASSAM,1.0
2020-03-31,BIHAR,21.0
2020-03-31,CHANDIGARH,15.0
2020-03-31,CHHATTISGARH,7.0
2020-03-31,DADRA & NAGAR HAVE,
2020-03-31,DAMAN & DIU,
2020-03-31,DELHI,114.0
2020-03-31,GOA,5.0
2020-03-31,GUJARAT,69.0
2020-03-31,HARYANA,19.0
2020-03-31,HIMACHAL PRADESH,2.0
2020-03-31,JAMMU & KASHMIR,54.0
2020-03-31,JHARKHAND,1.0
2020-03-31,KARNATAKA,93.0
2020-03-31,KERALA,217.0
2020-03-31,LADAKH,10.0
2020-03-31,LAKSHADWEEP,
2020-03-31,MADHYA PRADESH,66.0
2020-03-31,MAHARASHTRA,263.0
2020-03-31,MANIPUR,1.0
2020-03-31,MEGHALAYA,
2020-03-31,MIZORAM,1.0
2020-03-31,NAGALAND,
2020-03-31,ODISHA,4.0
2020-03-31,PUDUCHERRY,1.0
2020-03-31,PUNJAB,41.0
2020-03-31,RAJASTHAN,90.0
2020-03-31,SIKKIM,
2020-03-31,TAMIL NADU,118.0
2020-03-31,TELANGANA,83.0
2020-03-31,TRIPURA,
2020-03-31,UTTAR PRADESH,87.0
2020-03-31,UTTARAKHAND,5.0
2020-03-31,WEST BENGAL,34.0
2020-04-30,ANDAMAN & NICOBAR,17.0
2020-04-30,ANDHRA PRADESH,1082.0
2020-04-30,ARUNACHAL PRADESH,
2020-04-30,ASSAM,14.0
2020-04-30,BIHAR,341.0
2020-04-30,CHANDIGARH,56.0
2020-04-30,CHHATTISGARH,4.0
2020-04-30,DADRA & NAGAR HAVE,
2020-04-30,DAMAN & DIU,
2020-04-30,DELHI,2421.0
2020-04-30,GOA,
2020-04-30,GUJARAT,3782.0
2020-04-30,HARYANA,104.0
2020-04-30,HIMACHAL PRADESH,12.0
2020-04-30,JAMMU & KASHMIR,398.0
2020-04-30,JHARKHAND,91.0
2020-04-30,KARNATAKA,336.0
2020-04-30,KERALA,115.0
2020-04-30,LADAKH,5.0
2020-04-30,LAKSHADWEEP,
2020-04-30,MADHYA PRADESH,2143.0
2020-04-30,MAHARASHTRA,8725.0
2020-04-30,MANIPUR,
2020-04-30,MEGHALAYA,12.0
2020-04-30,MIZORAM,1.0
2020-04-30,NAGALAND,
2020-04-30,ODISHA,102.0
2020-04-30,PUDUCHERRY,3.0
2020-04-30,PUNJAB,376.0
2020-04-30,RAJASTHAN,1691.0
2020-04-30,SIKKIM,
