,Tweet Posted Time (UTC),Tweet Content,Tweet Location
0,2020-04-12,This needs to be given the highest priority: BBC News - Coronavirus: The children struggling to survive India's lockdown @007AliSohrab,Bihar
1,2020-04-12,#AarogyaSetu #AarogyaSetuApp #IndiaFightsCorona #covidindia I recommend Aarogya Setu app to fight against COVID19. Please download and share it using this link Android : https://play.google.com/store/apps/details?id=nic.goi.aarogyasetu iOS :,Bihar
2,2020-04-12,I recommend Aarogya Setu app to fight against COVID19. Please download and share it using this link Android : https://play.google.com/store/apps/details?id=nic.goi.aarogyasetu iOS : itms-apps://itunes.apple.com/app/id1505825357 @PMOIndia @Pkcspkc #IndiaFightCorona,Bihar
3,2020-04-12,I recommend Aarogya Setu app to fight against COVID19. Please download and share it using this link Android : https://play.google.com/store/apps/details?id=nic.goi.aarogyasetu iOS :,Bihar
4,2020-04-12,It's not disgraceful but shameful also... Extremely unfortunate  We could have defeated COVID19 easily  but now this virus has religion  and it's politically active... So let's pray for humanity... Stay safe at home.. Good morning,Bihar
5,2020-04-12,#AarogyaSetu #AarogyaSetuApp #IndiaFightsCorona #covidindia I recommend Aarogya Setu app to fight against COVID19. Please download and share it using this link Android : https://play.google.com/store/apps/details?id=nic.goi.aarogyasetu iOS :,Bihar
6,2020-04-12,#StayAtHome #LetsFightCoronaTogether @narendramodi comon India let's fight against corona @myogiadityanath,Bihar
7,2020-04-12,Day 23:While I may agree to #BoycottChina and #MadeInChina products लेकिन... किंतु... परंतु... Not the #IndianChowmein #SocialDistancing #Covid19 #Coronavirus #CGLockDown #coronawarriors #StayHomeStaySafe #StayHomeSaveLives #lockdown21 #Lockdownextention #GharBaithoIndia,Chhattisgarh
8,2020-04-12,Day 23:While I may agree to #BoycottChina and #MadeInChina products लेकिन... किंतु... परंतु... Not the #IndianChowmein #SocialDistancing #Covid19 #Coronavirus #CGLockDown #coronawarriors #StayHomeStaySafe #StayHomeSaveLives #lockdown21 #Lockdownextention #GharBaithoIndia,Chhattisgarh
9,2020-04-12,Honourable CM sir @bhupeshbaghel Ji  1st of all I would like to Thank you for all your efforts in keeping us safe in the wake of #Covid19. I am writing this to bring to your kind attention the need to grant work from home or mandatory leave to all government employees In the,Chhattisgarh
10,2020-04-12,@PMOIndia @AmitShah @JPNadda - arrest these people - attacking an on duty police officer   not following the lockdown  and make them regular attendants 24x7 for the #covid19 patients without an hour's leave and ofcourse jail term for 14 years. This is inhuman !!! ,Chhattisgarh
11,2020-04-12,Leave this for high level persona of the country. This not your cup of tea. Fact check the news of vicious ppl who are breaking laws to spread Covid19.,Chhattisgarh
12,2020-04-12,Sir ap Doesn’t change whole world is fighting corona virus but still our leaders fighting politically they won’t change sir .... only one man can change everything in ap and India it’s @PawanKalyan he’s only true leader for us and god too waiting for him to rule AP – at Velsao Beach,Goa
13,2020-04-12,HappEaster everyone stay blessed and god heal everyone who suffering from corona god bless you all and god heal everyone who’s suffering from corona virus amen – at Three Kings Church,Goa
14,2020-04-12,#Easter2020 #AarogyaSetuApp #AarogyaSetu Mobile App for contact tracing and dissemination of relevant medical advisories to contain spread of #COVID19. Link here to download http://mygov.in/aarogya-setu-a… #GoaFightsCovid #EasterSunday2020,Goa
15,2020-04-12,CORONA WARRIORS of Goa Airport up against the COVID19 after departure of 21st relief flight. Carrying out disinfection of entire terminal building especially the touch points. Selfless dedicated services at front foot speaks for it self @AAI_Official @MoCA_GoI @aairedwr – at Dabolim Goa International Airport (GOI),Goa
