state,statecode,median_age
Andaman and Nicobar Islands,AN,28
Andhra Pradesh,AP,27.6
Arunachal Pradesh,AR,21
Assam,AS,23.8
Bihar,BR,19.9
Chandigarh,CH,27
Chhattisgarh,CT,24.2
Delhi,DL,26.2
Goa,GA,30
Gujarat,GJ,26
Haryana,HR,24.9
Himachal Pradesh,HP,28.2
Jammu and Kashmir,JK,23.3
Jharkhand,JH,22.1
Karnataka,KA,27.4
Kerala,KL,31.9
Madhya Pradesh,MP,23.3
Maharashtra,MH,28.2
Manipur,MN,25
Meghalaya,ML,19
Mizoram,MZ,23
Nagaland,NL,21
Odisha,OR,26.6
Puducherry,PY,29
Punjab,PB,27.7
Rajasthan,RJ,22.4
Sikkim,SK,25
Tamil Nadu,TN,29.9
Telangana,TG,26.7
Tripura,TR,25
Uttar Pradesh,UP,21.5
Uttarakhand,UT,21.5
West Bengal,WB,27
